tweet_id,favorites,retweets,user_followers,user_favourites,date_time
865006731092295680,26802,7239,8773688,146003,2017-05-18 00:50:50+00:00
864873206498414592,30894,8182,8774394,146004,2017-05-17 16:00:15+00:00
864279568663928832,13955,2845,8773688,146003,2017-05-16 00:41:21+00:00
864197398364647424,28736,8337,8774394,146004,2017-05-15 19:14:50+00:00
863907417377173506,19740,3902,8773688,146003,2017-05-15 00:02:33+00:00
863553081350529029,14634,3952,8773688,146003,2017-05-14 00:34:33+00:00
863471782782697472,0,2293,8774394,146004,2017-05-13 19:11:30+00:00
863432100342583297,22806,4951,8774394,146004,2017-05-13 16:33:49+00:00
863427515083354112,2118,91,8774394,146004,2017-05-13 16:15:35+00:00
863079547188785154,8434,1048,8773688,146003,2017-05-12 17:12:53+00:00
863062471531167744,8121,2293,8774394,146004,2017-05-12 16:05:02+00:00
862831371563274240,18422,4861,8773688,146003,2017-05-12 00:46:44+00:00
862722525377298433,16415,3344,8773688,146003,2017-05-11 17:34:13+00:00
862457590147678208,19648,4663,8773688,146003,2017-05-11 00:01:27+00:00
862096992088072192,71355,21916,8773688,146003,2017-05-10 00:08:34+00:00
861383897657036800,34697,10147,8773689,146003,2017-05-08 00:54:59+00:00
861288531465048066,16501,3921,8774395,146004,2017-05-07 18:36:02+00:00
861005113778896900,16066,3618,8774395,146004,2017-05-06 23:49:50+00:00
860981674716409858,0,2038,8774395,146004,2017-05-06 22:16:42+00:00
860924035999428608,0,761,8774395,146004,2017-05-06 18:27:40+00:00
860563773140209665,7207,2038,8774395,146004,2017-05-05 18:36:06+00:00
860524505164394496,22746,5047,8774395,146004,2017-05-05 16:00:04+00:00
860276583193509888,17702,3330,8774395,146004,2017-05-04 23:34:55+00:00
860184849394610176,16083,5561,8773689,146003,2017-05-04 17:30:24+00:00
860177593139703809,0,29414,8774395,146004,2017-05-04 17:01:34+00:00
859924526012018688,18865,3902,8774395,146004,2017-05-04 00:15:58+00:00
859851578198683649,14878,3341,8774395,146004,2017-05-03 19:26:06+00:00
859607811541651456,17960,1488,8773689,146003,2017-05-03 03:17:27+00:00
859196978902773760,86615,28723,8774395,146004,2017-05-02 00:04:57+00:00
859074603037188101,32642,13006,8774395,146004,2017-05-01 15:58:40+00:00
858860390427611136,0,7747,8773689,146003,2017-05-01 01:47:28+00:00
858843525470990336,15056,3326,8773689,146003,2017-05-01 00:40:27+00:00
858471635011153920,20793,4642,8773689,146003,2017-04-30 00:02:42+00:00
858107933456039936,15238,2780,8774395,146004,2017-04-28 23:57:28+00:00
857989990357356544,15573,2482,8773689,146003,2017-04-28 16:08:49+00:00
857746408056729600,33161,10177,8774395,146004,2017-04-28 00:00:54+00:00
857393404942143489,5706,1573,8773689,146003,2017-04-27 00:38:11+00:00
857263160327368704,19434,4330,8773689,146003,2017-04-26 16:00:39+00:00
857214891891077121,219,17,8774395,146004,2017-04-26 12:48:51+00:00
857062103051644929,0,164,8774395,146004,2017-04-26 02:41:43+00:00
857029823797047296,18302,3825,8774395,146004,2017-04-26 00:33:27+00:00
856543823941562368,15853,2774,8773689,146003,2017-04-24 16:22:16+00:00
856526610513747968,11522,1803,8773689,146003,2017-04-24 15:13:52+00:00
856330835276025856,0,646,8773689,146003,2017-04-24 02:15:55+00:00
856288084350160898,501,15,8773689,146003,2017-04-23 23:26:03+00:00
856282028240666624,26965,6055,8774395,146004,2017-04-23 23:01:59+00:00
855862651834028034,329,25,8773689,146003,2017-04-22 19:15:32+00:00
855860136149123072,4788,941,8773689,146003,2017-04-22 19:05:32+00:00
855857698524602368,11549,2039,8773689,146003,2017-04-22 18:55:51+00:00
855851453814013952,44497,17389,8774395,146004,2017-04-22 18:31:02+00:00
855818117272018944,25967,5239,8773689,146003,2017-04-22 16:18:34+00:00
855459453768019968,29064,7944,8774395,146004,2017-04-21 16:33:22+00:00
855245323840757760,0,5764,8773689,146003,2017-04-21 02:22:29+00:00
855138241867124737,0,43,8773689,146003,2017-04-20 19:16:59+00:00
854732716440526848,22233,5878,8773689,146003,2017-04-19 16:25:34+00:00
854482394044301312,28618,6665,8774395,146004,2017-04-18 23:50:52+00:00
854365224396361728,18459,4545,8773689,146003,2017-04-18 16:05:17+00:00
854120357044912130,31271,7256,8774395,146004,2017-04-17 23:52:16+00:00
854010172552949760,15882,3059,8774395,146004,2017-04-17 16:34:26+00:00
853760880890318849,27971,5580,8774395,146004,2017-04-17 00:03:50+00:00
853639147608842240,33974,9772,8774395,146004,2017-04-16 16:00:07+00:00
853299958564483072,15183,3461,8773689,146003,2017-04-15 17:32:18+00:00
852936405516943360,0,1945,8774395,146004,2017-04-14 17:27:40+00:00
